date,prec,et,temp,tm
2009-07-03,1.07,1.650940189,28.30109466,28.87381256
2009-07-04,0.73,1.428384832,28.32092763,28.87381256
2009-07-05,0.01,1.632266029,27.90016217,28.87381256
2009-07-06,0.62,1.854493331,30.47558523,28.87381256
2009-07-07,0,1.495081837,28.63517348,28.87381256
2009-07-08,15.33,1.747901271,29.53518537,28.87381256
2009-07-09,0.07,1.66518401,29.1032759,28.87381256
2009-07-10,0,1.559971536,28.44849308,28.87381256
2009-07-11,0.41,1.475247585,28.36388046,28.87381256
2009-07-12,0.06,1.842002555,28.90506929,28.87381256
2009-07-13,0.7,1.681079302,29.30404937,28.87381256
2009-07-14,0.01,1.775653246,28.52731666,28.87381256
2009-07-15,0.74,1.747007907,28.5311569,28.87381256
2009-07-16,0,1.667151381,29.34397031,28.87381256
2009-07-17,0.14,1.631380151,29.54646237,28.87381256
2009-07-18,0.3,1.822632068,29.32867802,28.87381256
2009-07-19,0,1.664957977,28.79186452,28.87381256
2009-07-20,0.42,1.32495348,28.5981449,28.87381256
2009-07-21,0.45,1.389908228,28.37819704,28.87381256
2009-07-22,14.32,1.610836918,28.68420455,28.87381256
2009-07-23,0.6,1.352015195,28.67128593,28.87381256
2009-07-24,0,1.46899586,30.35896018,28.87381256
2009-07-25,0,1.432115539,30.46396007,28.87381256
2009-07-26,0,1.509044387,30.82094148,28.87381256
2009-07-27,0,1.802311558,30.19616425,28.87381256
2009-07-28,0.02,1.517884959,30.20859363,28.87381256
2009-07-29,0.01,1.829606788,29.91861703,28.87381256
2009-07-30,0,1.323434913,27.86620884,28.87381256
2009-07-31,0,1.627091615,30.39513044,28.87381256
2009-08-01,0.01,1.520905763,29.1169425,28.87381256
2009-08-02,0,1.798329536,30.16016319,28.87381256
2009-08-03,0.01,1.560615925,30.6290799,28.87381256
2009-08-04,0,1.738166427,29.14690367,28.87381256
2009-08-05,0.01,1.329922464,29.94240817,28.87381256
2009-08-06,1.25,1.669185203,29.61742127,28.87381256
2009-08-07,0.85,1.061642466,28.71345016,28.87381256
2009-08-08,1.88,1.385629973,28.14942311,28.87381256
2009-08-09,0.46,1.371556945,28.53109615,28.87381256
2009-08-10,0.02,1.483746976,29.59586347,28.87381256
2009-08-11,0.67,1.703648903,30.57223258,28.87381256
