id,mean,std,min,5%,25%,median,75%,95%,max,t_beg,t_end,nyr,q1.5,q2,q5,q10,q25,q50,q100,q200,q500
368,72.59136274408515,90.42028531746965,-9.0,17.1,27.3,41.4,80.5,243.0,1170.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,443.23817948211905,556.4731681092439,835.1412948447145,1019.6438424573826,1252.7633004727604,1425.7046315532814,1425.7046315532814,1597.368990991851,1768.4069760185137
543,88.67054861039384,82.79923085722152,14.1,26.3,43.525,64.8,104.0,222.0,1520.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,491.79456268267165,593.1801047432488,842.6870762776055,1007.8824017512982,1216.6071334116268,1371.4510629148458,1371.4510629148458,1525.1516491485959,1678.2914077613605
252,105.15582704824892,93.25560064464878,11.0,33.2,52.4,75.5,122.0,275.0,1180.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,440.4062392794181,540.3308669595416,786.2425692343011,949.05751362344,1154.774627473167,1307.3873342720476,1307.3873342720476,1458.873172799671,1609.8062649486621
443,138.49882735819733,121.42371099477836,21.1,49.4,73.3,105.2,157.3,333.11999999999824,2140.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,717.7905758171205,883.4990835224808,1291.3030669576976,1561.3047881872494,1902.4526787214745,2155.5356722500924,2155.5356722500924,2406.749940681146,2657.047570444945
383,112.37425870441253,97.94915059269033,12.0,36.0,56.0,81.0,131.0,293.0,1250.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,445.96635674508883,544.6645767306663,787.5581241135799,948.374787345994,1151.5670676568589,1302.3067087035931,1302.3067087035931,1451.933311902567,1601.0139527603142
250,103.50812067362338,127.69325116755553,-9.0,-9.0,-9.0,78.0,137.0,331.0,1506.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,546.2073929863731,677.3834086035799,1000.2038988766137,1213.9391529750656,1483.994213129633,1684.3364838511113,1684.3364838511113,1883.199458693478,2081.3368159450747
333,278.509484450873,322.0608174488163,-9.0,40.0,93.0,170.0,334.0,908.0,3710.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,1457.4411770733486,1799.0858113889471,2639.863661135175,3196.5317561618276,3899.8833699265147,4421.669776508129,4421.669776508129,4939.603394168797,5455.64715905962
337,138.55233443537614,150.45783332019724,-9.0,-9.0,60.2,99.0,176.0,412.0,1720.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,598.9857580698256,740.1299924090149,1087.4819889931543,1317.459234826354,1608.0360945944612,1823.6026085925307,1823.6026085925307,2037.5774132888967,2250.7714598657967
212,328.06387602025023,359.3085733277974,10.0,63.0,113.0,205.0,392.0,1026.139499999998,4020.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,1615.2809720028715,1981.5555962197234,2882.9471593641765,3479.746806833684,4233.804743496601,4793.207997041029,4793.207997041029,5348.480704771287,5901.727315664147
234,144.36757412955845,171.63653288020888,-9.0,-9.0,37.0,109.0,186.0,454.0,1990.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,680.7665761324572,843.6154797634947,1244.3820578855825,1509.7244044530016,1844.9851627498592,2093.7007452779326,2093.7007452779326,2340.5798509857136,2586.5581363068086
541,1283.8705961359644,531.7653282757511,388.0,615.0,889.0,1190.0,1570.0,2280.0,4340.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,2622.001612755403,2984.2068558329056,3875.5837862845488,4465.752875509473,5211.433084253089,5764.62126064296,5764.62126064296,6313.724782372783,6860.824717588642
461,1291.949668095877,525.6168573269239,364.0,626.0,900.0,1200.0,1580.0,2250.0,4410.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,2559.0616295385234,2918.314066893736,3802.4242253942293,4387.7820792848015,5127.383279429127,5676.061699972095,5676.061699972095,6220.68876518429,6763.328577720412
381,1435.4812480628163,608.0391180512897,421.0,679.85,998.0,1320.0,1750.0,2560.0,5400.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,2907.609085880954,3331.7015823223865,4375.381305160221,5066.388095248044,5939.477006347495,6587.184236463059,6587.184236463059,7230.108898062601,7870.687635568599
253,1654.1584357888212,724.5140745817557,501.0,778.0,1150.0,1520.0,2000.0,2990.0,6920.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,3448.7740129680947,3990.4904867247224,5323.639514191862,6206.30017149957,7321.544251895899,8148.896019892417,8148.896019892417,8970.138752304154,9788.38490793531
177,2091.4865688604195,1088.5729819141416,576.0,892.0,1380.0,1840.0,2490.0,4220.0,10400.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,5124.184433426105,6051.82310428043,8334.715819937339,9846.189438751779,11755.940362962705,13172.70269450307,13172.70269450307,14579.003875377724,15980.173699469788
132,1697.9277817956402,763.6284437576095,519.0,782.0,1180.0,1550.0,2050.0,3140.0,7160.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,3587.4329509704467,4155.811972360324,5554.5767807184675,6480.680794393504,7650.815670726059,8518.88856682615,8518.88856682615,9380.551748923575,10239.070866809227
81,2170.0804835210247,1120.2644242107447,651.0,950.0,1430.0,1910.0,2580.0,4350.0,10700.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,5271.060857620866,6204.914610875771,8503.10246976601,10024.70280427524,11947.248860611939,13373.503352094765,13373.503352094765,14789.226604292857,16199.784120152794
42,2212.062921531157,1145.7687418779708,640.0,963.0,1470.0,1940.0,2620.0,4470.0,10800.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,5334.084061453865,6283.491196696799,8619.955491833061,10166.89815767977,12121.464316842594,13571.473149774343,13571.473149774343,15010.775345092838,16444.82576847045
1,2355.7645934497364,1192.838674133376,716.0,1040.0,1570.0,2060.0,2800.0,4700.0,11300.0,1951-01-01 00:00:00,2003-12-31 00:00:00,52.99657768651608,5467.177968684623,6408.843389780068,8726.255543830266,10260.584034496507,12199.212149879277,13637.397231462219,13637.397231462219,15064.962980155884,16487.319781230948
