date,Qsim,Quz,Qlz,SP,SM,UZ,LZ,WC
'2010-03-30',14.935,0.000,15.069,0.000,24.178,0.000,25.551,0.000
'2010-03-31',14.808,0.000,14.659,0.000,23.488,0.000,24.857,0.000
'2010-04-01',14.236,0.000,14.342,0.000,22.887,0.000,24.319,0.000
'2010-04-02',14.400,0.000,14.305,0.000,23.012,0.000,24.256,0.000
'2010-04-03',14.411,0.000,14.511,0.000,23.869,0.000,24.606,0.000
'2010-04-04',14.394,0.000,14.290,0.000,23.859,0.000,24.230,0.000
'2010-04-05',25.011,9.179,16.839,0.000,32.453,0.936,28.554,0.000
'2010-04-06',26.111,5.856,19.307,0.000,34.950,0.597,32.738,0.000
'2010-04-07',45.167,26.068,21.695,0.000,38.732,2.657,36.787,0.000
'2010-04-08',110.608,89.464,24.006,0.000,43.731,9.119,40.706,0.000
'2010-04-09',99.503,69.360,26.243,0.000,43.764,7.070,44.498,0.000
'2010-04-10',42.940,13.772,28.407,0.000,42.456,1.404,48.169,0.000
'2010-04-11',127.441,104.887,30.502,0.000,46.245,10.691,51.720,0.000
'2010-04-12',91.303,47.494,32.529,0.000,45.209,4.841,55.158,0.000
'2010-04-13',46.540,19.918,34.491,0.000,44.241,2.030,58.485,0.000
'2010-04-14',90.262,49.442,36.390,0.000,44.692,5.040,61.704,0.000
'2010-04-15',47.514,10.244,38.227,0.000,43.580,1.044,64.820,0.000
'2010-04-16',45.853,4.717,40.005,0.000,43.233,0.481,67.835,0.000
'2010-04-17',38.907,0.000,39.488,0.000,41.911,0.000,66.957,0.000
'2010-04-18',38.945,0.000,38.348,0.000,40.083,0.000,65.025,0.000
'2010-04-19',73.092,36.480,40.123,0.000,42.177,3.718,68.034,0.000
'2010-04-20',46.859,0.000,41.006,0.000,40.683,0.000,69.532,0.000
