date,Qsim,Quz,Qlz,SP,SM,UZ,LZ,WC
'2009-06-08',37.100,42.038,18.727,0.000,106.852,0.566,13.450,0.000
'2009-06-09',39.354,0.000,18.273,0.000,105.979,0.000,13.123,0.000
'2009-06-10',19.195,0.000,20.103,0.000,106.897,0.000,14.438,0.000
'2009-06-11',49.247,52.692,25.252,0.000,113.168,0.710,18.136,0.000
'2009-06-12',92.890,77.582,30.024,0.000,117.668,1.045,21.564,0.000
'2009-06-13',68.880,0.000,30.750,0.000,117.498,0.000,22.085,0.000
'2009-06-14',29.624,0.000,28.515,0.000,116.497,0.000,20.479,0.000
'2009-06-15',28.902,0.000,29.284,0.000,116.267,0.000,21.032,0.000
'2009-06-16',31.074,0.000,32.836,0.000,117.499,0.000,23.583,0.000
'2009-06-17',31.643,0.000,30.469,0.000,116.577,0.000,21.883,0.000
'2009-06-18',29.373,0.000,28.293,0.000,115.111,0.000,20.320,0.000
'2009-06-19',27.283,0.000,26.288,0.000,113.606,0.000,18.880,0.000
'2009-06-20',26.678,0.000,27.062,0.000,113.451,0.000,19.436,0.000
'2009-06-21',26.096,0.000,25.144,0.000,112.001,0.000,18.059,0.000
'2009-06-22',104.906,153.518,29.925,0.000,121.589,2.068,21.492,0.000
'2009-06-23',107.600,0.000,32.922,0.000,121.571,0.000,23.645,0.000
'2009-06-24',31.724,0.000,30.544,0.000,120.119,0.000,21.937,0.000
'2009-06-25',30.566,0.000,30.587,0.000,119.648,0.000,21.968,0.000
'2009-06-26',29.464,0.000,28.358,0.000,118.509,0.000,20.367,0.000
'2009-06-27',27.316,0.000,26.291,0.000,117.369,0.000,18.882,0.000
'2009-06-28',25.325,0.000,24.374,0.000,116.426,0.000,17.506,0.000
'2009-06-29',23.528,0.000,22.694,0.000,115.162,0.000,16.299,0.000
'2009-06-30',22.135,0.000,21.584,0.000,114.497,0.000,15.502,0.000
'2009-07-01',22.493,0.000,23.387,0.000,114.917,0.000,16.797,0.000
'2009-07-02',22.976,0.000,22.571,0.000,113.997,0.000,16.210,0.000
'2009-07-03',22.076,0.000,21.589,0.000,113.043,0.000,15.505,0.000
'2009-07-04',21.020,0.000,20.460,0.000,112.172,0.000,14.694,0.000
'2009-07-05',19.712,0.000,18.975,0.000,111.024,0.000,13.628,0.000
'2009-07-06',18.461,0.000,17.956,0.000,109.366,0.000,12.896,0.000
'2009-07-07',17.297,0.000,16.647,0.000,108.212,0.000,11.956,0.000
'2009-07-08',30.267,21.631,22.047,0.000,111.844,0.291,15.834,0.000
'2009-07-09',32.180,0.000,20.858,0.000,110.459,0.000,14.980,0.000
'2009-07-10',20.092,0.000,19.337,0.000,109.276,0.000,13.888,0.000
'2009-07-11',18.745,0.000,18.161,0.000,108.318,0.000,13.044,0.000
'2009-07-12',17.511,0.000,16.871,0.000,106.873,0.000,12.117,0.000
'2009-07-13',16.444,0.000,16.023,0.000,105.721,0.000,11.508,0.000
'2009-07-14',15.437,0.000,14.860,0.000,104.420,0.000,10.673,0.000
'2009-07-15',14.508,0.000,14.162,0.000,103.422,0.000,10.171,0.000
'2009-07-16',13.642,0.000,13.130,0.000,102.077,0.000,9.430,0.000
'2009-07-17',12.683,0.000,12.242,0.000,100.795,0.000,8.792,0.000
'2009-07-18',11.866,0.000,11.495,0.000,99.482,0.000,8.256,0.000
'2009-07-19',11.073,0.000,10.657,0.000,98.285,0.000,7.654,0.000
'2009-07-20',10.364,0.000,10.074,0.000,97.543,0.000,7.235,0.000
'2009-07-21',9.807,0.000,9.544,0.000,96.810,0.000,6.855,0.000
'2009-07-22',12.424,0.000,15.259,0.000,101.742,0.000,10.959,0.000
'2009-07-23',14.848,0.000,14.443,0.000,100.997,0.000,10.373,0.000
'2009-07-24',13.913,0.000,13.390,0.000,99.681,0.000,9.617,0.000
'2009-07-25',12.898,0.000,12.414,0.000,98.398,0.000,8.916,0.000
'2009-07-26',11.958,0.000,11.509,0.000,97.008,0.000,8.266,0.000
'2009-07-27',11.087,0.000,10.670,0.000,95.487,0.000,7.663,0.000
'2009-07-28',10.283,0.000,9.901,0.000,94.232,0.000,7.111,0.000
'2009-07-29',9.540,0.000,9.184,0.000,92.786,0.000,6.596,0.000
'2009-07-30',8.846,0.000,8.514,0.000,92.019,0.000,6.115,0.000
'2009-07-31',8.201,0.000,7.894,0.000,90.684,0.000,5.669,0.000
'2009-08-01',7.606,0.000,7.322,0.000,89.645,0.000,5.259,0.000
'2009-08-02',7.053,0.000,6.788,0.000,88.249,0.000,4.875,0.000
'2009-08-03',6.541,0.000,6.297,0.000,86.992,0.000,4.523,0.000
'2009-08-04',6.066,0.000,5.838,0.000,85.843,0.000,4.193,0.000
'2009-08-05',5.625,0.000,5.416,0.000,84.885,0.000,3.890,0.000
'2009-08-06',5.434,0.000,5.452,0.000,84.365,0.000,3.916,0.000
'2009-08-07',5.397,0.000,5.344,0.000,84.155,0.000,3.838,0.000
'2009-08-08',5.468,0.000,5.591,0.000,84.343,0.000,4.015,0.000
'2009-08-09',5.464,0.000,5.340,0.000,83.771,0.000,3.835,0.000
'2009-08-10',5.147,0.000,4.957,0.000,82.778,0.000,3.560,0.000
'2009-08-11',4.886,0.000,4.815,0.000,81.840,0.000,3.458,0.000
'2009-08-12',4.639,0.000,4.464,0.000,80.898,0.000,3.206,0.000
'2009-08-13',4.494,0.000,4.524,0.000,80.307,0.000,3.249,0.000
'2009-08-14',6.133,0.000,7.717,0.000,85.524,0.000,5.542,0.000
'2009-08-15',7.441,0.000,7.168,0.000,84.442,0.000,5.148,0.000
'2009-08-16',7.658,0.000,8.139,0.000,85.571,0.000,5.846,0.000
'2009-08-17',8.420,0.000,8.698,0.000,86.372,0.000,6.247,0.000
'2009-08-18',8.434,0.000,8.174,0.000,85.576,0.000,5.871,0.000
'2009-08-19',8.142,0.000,8.110,0.000,85.253,0.000,5.825,0.000
'2009-08-20',7.893,0.000,7.679,0.000,84.706,0.000,5.515,0.000
'2009-08-21',8.158,0.000,8.629,0.000,86.139,0.000,6.197,0.000
'2009-08-22',8.321,0.000,8.017,0.000,85.370,0.000,5.758,0.000
'2009-08-23',8.764,0.000,9.499,0.000,87.317,0.000,6.822,0.000
'2009-08-24',12.178,0.000,14.816,0.000,94.776,0.000,10.641,0.000
'2009-08-25',17.260,0.000,19.666,0.000,99.624,0.000,14.125,0.000
