date,Qsim,Quz,Qlz,SP,SM,UZ,LZ,WC
'2009-10-12',10.413,0.000,10.400,0.000,70.425,0.000,6.882,0.000
'2009-10-13',13.476,0.000,13.690,0.000,73.662,0.000,9.060,0.000
'2009-10-14',15.102,0.000,15.201,0.000,75.166,0.000,10.059,0.000
'2009-10-15',18.477,0.000,18.706,0.000,78.379,0.000,12.379,0.000
'2009-10-16',17.331,0.000,17.235,0.000,77.804,0.000,11.406,0.000
'2009-10-17',16.528,0.000,16.479,0.000,77.458,0.000,10.905,0.000
'2009-10-18',15.983,0.000,15.948,0.000,77.084,0.000,10.554,0.000
'2009-10-19',16.347,0.000,16.374,0.000,77.445,0.000,10.836,0.000
'2009-10-20',16.356,0.000,16.355,0.000,77.678,0.000,10.824,0.000
'2009-10-21',15.217,0.000,15.137,0.000,77.113,0.000,10.018,0.000
'2009-10-22',14.151,0.000,14.082,0.000,76.314,0.000,9.319,0.000
'2009-10-23',13.078,0.000,13.008,0.000,75.349,0.000,8.609,0.000
'2009-10-24',45.300,30.039,17.512,0.000,93.699,11.285,11.589,0.000
'2009-10-25',40.180,18.005,21.661,0.000,92.915,6.764,14.335,0.000
'2009-10-26',32.454,6.467,25.485,0.000,91.771,2.429,16.865,0.000
'2009-10-27',28.358,0.000,28.108,0.000,90.967,0.000,18.601,0.000
'2009-10-28',26.097,0.000,25.957,0.000,89.479,0.000,17.178,0.000
'2009-10-29',24.330,0.000,24.216,0.000,88.361,0.000,16.026,0.000
'2009-10-30',28.390,0.842,27.839,0.000,90.750,0.316,18.423,0.000
'2009-10-31',27.138,0.000,27.030,0.000,90.427,0.000,17.888,0.000
'2009-11-01',26.536,0.000,26.502,0.000,90.521,0.000,17.538,0.000
'2009-11-02',37.430,8.247,29.944,0.000,94.933,3.098,19.817,0.000
'2009-11-03',38.400,5.298,33.116,0.000,95.896,1.990,21.916,0.000
'2009-11-04',34.605,0.000,34.339,0.000,95.434,0.000,22.725,0.000
'2009-11-05',40.507,3.771,37.166,0.000,97.852,1.417,24.596,0.000
'2009-11-06',54.787,15.982,39.770,0.000,102.254,6.004,26.319,0.000
'2009-11-07',48.871,6.222,42.170,0.000,101.659,2.337,27.907,0.000
