date,Qsim,Quz,Qlz,SP,SM,UZ,LZ,WC
'2010-02-09',17.304,0.000,17.978,0.000,234.846,0.000,26.876,0.000
'2010-02-10',17.722,0.000,17.472,0.000,234.082,0.000,26.119,0.000
'2010-02-11',17.192,0.000,16.917,0.000,232.835,0.000,25.290,0.000
'2010-02-12',16.606,0.000,16.301,0.000,231.217,0.000,24.369,0.000
'2010-02-13',16.017,0.000,15.739,0.000,229.325,0.000,23.528,0.000
'2010-02-14',16.984,1.023,17.181,0.000,230.974,0.178,25.685,0.000
'2010-02-15',17.431,0.000,16.674,0.000,229.542,0.000,24.927,0.000
'2010-02-16',16.395,0.000,16.122,0.000,228.238,0.000,24.101,0.000
'2010-02-17',15.839,0.000,15.562,0.000,227.299,0.000,23.264,0.000
'2010-02-18',15.281,0.000,15.006,0.000,225.572,0.000,22.433,0.000
'2010-02-19',14.750,0.000,14.500,0.000,223.721,0.000,21.676,0.000
'2010-02-20',14.299,0.000,14.103,0.000,222.753,0.000,21.084,0.000
'2010-02-21',14.444,0.000,14.778,0.000,223.152,0.000,22.091,0.000
'2010-02-22',14.683,0.000,14.591,0.000,222.499,0.000,21.812,0.000
'2010-02-23',36.717,42.304,16.075,0.000,233.974,7.374,24.030,0.000
'2010-02-24',50.308,24.902,17.505,0.000,234.290,4.341,26.168,0.000
'2010-02-25',47.486,33.575,18.883,0.000,238.933,5.852,28.228,0.000
'2010-02-26',60.227,47.622,20.211,0.000,244.777,8.301,30.213,0.000
'2010-02-27',56.128,23.179,21.490,0.000,243.304,4.040,32.126,0.000
'2010-02-28',35.644,4.085,22.723,0.000,241.171,0.712,33.969,0.000
'2010-03-01',24.563,0.000,22.366,0.000,239.726,0.000,33.435,0.000
'2010-03-02',22.392,0.000,22.418,0.000,239.328,0.000,33.514,0.000
'2010-03-03',22.379,0.000,22.340,0.000,239.024,0.000,33.396,0.000
'2010-03-04',21.931,0.000,21.530,0.000,237.767,0.000,32.186,0.000
'2010-03-05',21.136,0.000,20.750,0.000,236.335,0.000,31.020,0.000
'2010-03-06',23.361,3.907,22.010,0.000,238.460,0.681,32.903,0.000
'2010-03-07',24.012,0.000,22.146,0.000,237.438,0.000,33.107,0.000
'2010-03-08',21.837,0.000,21.534,0.000,235.863,0.000,32.192,0.000
'2010-03-09',21.462,0.000,21.390,0.000,235.440,0.000,31.977,0.000
'2010-03-10',33.025,21.788,22.627,0.000,241.229,3.798,33.825,0.000
'2010-03-11',50.295,32.232,23.818,0.000,245.133,5.618,35.607,0.000
'2010-03-12',45.877,10.950,24.967,0.000,243.703,1.909,37.323,0.000
'2010-03-13',30.580,0.000,25.355,0.000,242.308,0.000,37.904,0.000
'2010-03-14',33.787,15.595,26.447,0.000,246.118,2.718,39.537,0.000
'2010-03-15',34.572,0.000,27.260,0.000,243.985,0.000,40.751,0.000
'2010-03-16',26.809,0.000,26.368,0.000,242.188,0.000,39.418,0.000
'2010-03-17',26.436,0.000,26.502,0.000,241.876,0.000,39.619,0.000
'2010-03-18',26.390,0.000,26.279,0.000,241.889,0.000,39.285,0.000
'2010-03-19',25.809,0.000,25.349,0.000,240.864,0.000,37.894,0.000
'2010-03-20',25.223,0.000,25.100,0.000,240.365,0.000,37.523,0.000
'2010-03-21',24.639,0.000,24.187,0.000,238.921,0.000,36.157,0.000
'2010-03-22',24.101,0.000,24.017,0.000,238.441,0.000,35.903,0.000
'2010-03-23',23.914,0.000,23.814,0.000,237.985,0.000,35.601,0.000
'2010-03-24',23.755,0.000,23.697,0.000,237.373,0.000,35.425,0.000
'2010-03-25',23.272,0.000,22.856,0.000,234.944,0.000,34.168,0.000
'2010-03-26',22.770,0.000,22.685,0.000,234.492,0.000,33.912,0.000
'2010-03-27',22.273,0.000,21.870,0.000,233.538,0.000,32.694,0.000
'2010-03-28',21.482,0.000,21.102,0.000,231.885,0.000,31.546,0.000
'2010-03-29',20.908,0.000,20.719,0.000,231.100,0.000,30.973,0.000
'2010-03-30',24.583,6.385,21.980,0.000,233.987,1.113,32.858,0.000
'2010-03-31',25.177,0.000,22.055,0.000,233.101,0.000,32.971,0.000
'2010-04-01',21.818,0.000,21.585,0.000,232.194,0.000,32.267,0.000
'2010-04-02',21.658,0.000,21.730,0.000,231.992,0.000,32.485,0.000
'2010-04-03',22.064,0.000,22.390,0.000,232.863,0.000,33.472,0.000
'2010-04-04',22.240,0.000,22.092,0.000,232.782,0.000,33.026,0.000
'2010-04-05',43.208,40.577,23.303,0.000,242.766,7.073,34.836,0.000
'2010-04-06',68.595,48.742,24.470,0.000,247.361,8.496,36.580,0.000
'2010-04-07',86.145,73.211,25.594,0.000,254.783,12.761,38.261,0.000
'2010-04-08',128.098,130.096,26.678,0.000,266.857,22.676,39.881,0.000
'2010-04-09',152.046,119.696,27.722,0.000,270.153,20.864,41.442,0.000
'2010-04-10',127.252,78.783,28.728,0.000,269.354,13.732,42.946,0.000
'2010-04-11',144.583,151.178,29.697,0.000,281.145,26.351,44.395,0.000
'2010-04-12',161.085,111.079,30.632,0.000,281.232,19.362,45.792,0.000
'2010-04-13',130.814,88.616,31.532,0.000,281.942,15.446,47.137,0.000
'2010-04-14',132.094,111.390,32.399,0.000,286.352,19.416,48.434,0.000
'2010-04-15',128.563,80.422,33.235,0.000,286.229,14.018,49.684,0.000
'2010-04-16',110.974,74.308,34.040,0.000,287.572,12.952,50.888,0.000
'2010-04-17',95.143,47.399,34.817,0.000,286.843,8.262,52.048,0.000
'2010-04-18',70.562,23.589,35.564,0.000,285.137,4.112,53.166,0.000
'2010-04-19',83.058,70.175,36.285,0.000,289.887,12.232,54.243,0.000
'2010-04-20',91.566,40.005,36.979,0.000,288.539,6.973,55.281,0.000
