id,mean,std,min,5%,25%,median,75%,95%,max,t_beg,t_end,nyr,q1.5,q2,q5,q10,q25,q50,q100,q200,q500,q1000
15,30.423902535496957,33.228720816507646,0.08,5.861000000000001,11.687999999999999,19.4775,35.428250000000006,90.67409999999998,439.284,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,159.94367723519218,188.44047895201763,258.57030762652346,305.00235640678784,363.66937312962693,407.1919175321697,407.1919175321697,450.3930982986147,493.4366452132528,550.2244320532309
159,32.280784888438134,45.481796463738306,0.16899999999999998,6.742000000000001,10.735999999999999,15.799500000000002,32.528,127.58009999999994,660.857,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,256.2198231674473,303.2560798180352,419.01098639227655,495.65080671118733,592.4854228523561,664.3228728562949,664.3228728562949,735.6298864057899,806.6767126407896,900.4095091478091
368,70.10788468559838,146.0294106709675,3.201,12.069,12.069,20.924,52.017,308.04139999999995,2759.8720000000003,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,849.4410758885126,1025.9258313968999,1460.2498580176684,1747.8101554211537,2111.1433534980274,2380.6846755141937,2380.6846755141937,2648.235746718722,2914.8105690068833,3266.5054285180304
543,88.76514401622718,83.60155898172599,29.743000000000002,37.937,49.18475,64.723,93.79275,222.25029999999995,2685.4040000000005,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,520.4936603849659,639.2217762765724,931.4083349319978,1124.86126075325,1369.2895453621663,1550.6204100350155,1550.6204100350155,1730.6123560667795,1909.9475417220021,2146.546266174083
252,64.66867758620691,60.68901181560738,7.801,23.494,32.824,44.6315,70.40875,174.7595499999998,883.528,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,341.2171866396804,404.86459243416766,561.499070516973,665.2047242234387,796.2370925999164,893.4443887843747,893.4443887843747,989.9339215525184,1086.071380223625,1212.9065019011875
443,115.62170791075052,103.95151277951678,24.23,54.908,69.15899999999999,85.37150000000001,119.40125,272.73654999999997,2818.7459999999996,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,614.9424263037637,776.7858497386417,1175.0779693375243,1438.7820090528412,1771.9727622990004,2019.1526968298672,2019.1526968298672,2264.5074935242014,2508.96703177939,2831.4849733645906
383,148.72981835699798,115.22790641746364,0.09,51.508,79.079,112.869,180.085,361.95034999999996,1450.358,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,596.8122845561869,724.1704737809321,1037.595400528173,1245.109974037592,1507.3051877772127,1701.8165754284335,1701.8165754284335,1894.8917215258548,2087.2623688473736,2341.058909732528
250,146.6555676470588,137.73202710396717,1.0859999999999999,39.068000000000005,67.105,100.87899999999999,173.1785,407.01005,1571.365,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,700.4717088766,822.5115645755972,1122.848221884715,1321.697222178195,1572.9434611874874,1759.3322739153186,1759.3322739153186,1944.3448209075768,2128.682288193735,2371.8805734007524
333,137.56398564908721,274.1334114871156,9.281,11.395,15.693249999999999,35.7985,123.2465,636.6389499999993,5016.391,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,1582.918253518631,1892.651761901312,2654.8972269706755,3159.5700500129797,3797.225499788649,4270.2747389803335,4270.2747389803335,4739.831056844767,5207.674042580031,5824.904026001261
337,205.8672719066937,145.9138626698876,4.407,88.014,122.719,161.0,236.00825,485.78130000000004,1700.154,1950-01-01 00:00:00,2003-12-28 00:00:00,53.987679671457904,776.5172322230981,912.5944443399259,1247.47664154534,1469.1977951567776,1749.3430605162125,1957.1708218692374,1957.1708218692374,2163.4640156553305,2369.0044802298353,2640.1760942326205
